pairing,from,to,frequency
FF,female,female,387
MM,male,male,615
MF,male,female,559
FM,female,male,549
NM,neutral,male,111
MN,male,neutral,98
N-,neutral,-,127
-N,-,neutral,126
M-,male,-,342
FN,female,neutral,60
-M,-,male,337
NN,neutral,neutral,61
NF,neutral,female,51
-F,-,female,233
F-,female,-,236
--,-,-,22
NA,neutral,avatar,27
AN,avatar,neutral,24
AF,avatar,female,107
AM,avatar,male,185
FA,female,avatar,103
-A,-,avatar,39
MA,male,avatar,171
A-,avatar,-,29
AA,avatar,avatar,14
